Ref,Status,Location,Description,Created,Target,Type,To Organisation,To Package,Status Changed,Association,OverDue,Images,Comments,Documents
T80948.325,Opened,Site Main>Site Area M,Paint fence,2023-02-15,2023-02-22,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-15,,True,True,False,False
T80948.324,Opened,Site Main>Site Area B,Missing light,2023-02-15,2023-02-22,Final Punch List,Wilkinson Electric Inc,Electrical,2023-02-15,,True,True,False,False
T80948.323,Opened,Site Main>Site Area K,Missing light,2023-02-15,2023-02-22,Final Punch List,Wilkinson Electric Inc,Electrical,2023-02-15,,True,True,False,False
T80948.322,Opened,Site Main>Site Area J,Fix lines in wall,2023-02-15,2023-02-22,Final Punch List,"Westland Construction, Inc.",Westland -- Site,2023-02-15,,True,True,False,False
T80948.321,Opened,Site Main>Site Area K,Paint touch up and paint bolts,2023-02-15,2023-02-22,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-15,,True,True,False,False
T80948.320,Opened,Site Main>Site Area K,Clean paint off concrete,2023-02-15,2023-02-22,Final Punch List,"Westland Construction, Inc.",Westland -- Site,2023-02-15,,True,True,False,False
T80948.319,Opened,Site Main>Site Area K,"Clean pavers, typical",2023-02-15,2023-02-22,Final Punch List,"Westland Construction, Inc.",Westland -- Site,2023-02-15,,True,True,False,False
T77364.161,Opened,Site Main>Site Area K,Replace chipped pavers,2023-02-15,2023-02-22,Quality Control,"IMS Masonry, Inc.",Pavers,2023-02-15,,True,True,False,False
T80948.318,Opened,Site Main>Site Area K,Paint inside planter wall,2023-02-15,2023-02-22,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-15,,True,True,False,False
T80948.317,Opened,Site Main>Site Area K,Fix raised pavers,2023-02-15,2023-02-22,Final Punch List,"IMS Masonry, Inc.",Pavers,2023-02-15,,True,True,False,False
T80948.316,Verified Complete (w/Photo),Site Main>Site Area K,Remove stake,2023-02-15,2023-02-22,Final Punch List,"Westland Construction, Inc.",Westland -- Site,2023-02-24,,False,True,False,False
T80948.315,Opened,Site Main>Site Area K,Need sand at pavers,2023-02-15,2023-02-22,Final Punch List,"IMS Masonry, Inc.",Pavers,2023-02-15,,True,True,False,False
T80948.314,Opened,Site Main>Site Area K,Paint touch up,2023-02-15,2023-02-22,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-15,,True,True,False,False
T80948.313,Opened,Site Main>Site Area K,Replace paver,2023-02-15,2023-02-22,Final Punch List,"IMS Masonry, Inc.",Pavers,2023-02-15,,True,True,False,False
T80948.312,Opened,Site Main>Site Area K,Replace paver,2023-02-15,2023-02-22,Final Punch List,"IMS Masonry, Inc.",Pavers,2023-02-15,,True,True,False,False
T80948.311,Opened,Site Main>Site Area K,"Need sand at pavers, typical",2023-02-15,2023-02-22,Final Punch List,"IMS Masonry, Inc.",Pavers,2023-02-15,,True,True,False,False
T80948.310,Verified Complete (w/Photo),Site Main>Site Area K,Missing bollards,2023-02-15,2023-02-22,Final Punch List,"Westland Construction, Inc.",Westland -- Site,2023-02-24,,False,True,False,False
T80948.309,Opened,Site Main>Site Area K,Missing caulk at sidewalk,2023-02-15,2023-02-22,Final Punch List,"Innovative Concrete, LLC",Concrete,2023-02-15,,True,True,False,False
T80948.308,Verified Complete (w/Photo),Site Main>Site Area L,Bollard top missing,2023-02-15,2023-02-22,Final Punch List,"Westland Construction, Inc.",Westland -- Site,2023-02-24,,False,True,False,False
T80948.307,Verified Complete (w/Photo),Historical Level 0.5 AE100B>077 - Dressing - Boys,Clean,2023-02-14,2023-02-21,Final Punch List,"Westland Construction, Inc.",,2023-02-24,,False,True,False,False
T80948.306,Verified Complete (w/Photo),Historical Level 0.5 AE100B>077 - Dressing - Boys,Clean of hand print on wall,2023-02-14,2023-02-21,Final Punch List,"Westland Construction, Inc.",,2023-02-24,,False,True,False,False
T80948.305,Verified Complete (w/Photo),Historical Level 0.5 AE100B>052D - Storage,Fix paint finish,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-24,,False,True,False,False
T80948.304,Verified Complete (w/Photo),Historical Level 0.5 AE100B>067B - LANDING,Fix caulking,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,False,False
T80948.303,Verified Complete (w/Photo),Historical Level 0.5 AE100B>067C - STAIR 4,Caulk at stairs,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-22,,False,True,False,False
T80948.302,Verified Complete (w/Photo),Historical Level 0.5 AE100B>067B - LANDING,Refresh all caulking-typical,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-24,,False,False,False,False
T80948.301,Verified Complete (w/Photo),Historical Level 0.5 AE100B>074 - Jan,Caulking fix,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-22,,False,True,False,False
T80948.300,Opened,Historical Level 0.5 AE100B>073 - Showers,Caulking fix,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-14,,True,True,False,False
T80948.299,Verified Complete (w/Photo),Historical Level 0.5 AE100B>073 - Showers,Missing tile,2023-02-14,2023-02-21,Final Punch List,"Global Stone and Tile, LLC",,2023-02-20,,False,True,False,False
T80948.298,Verified Complete (w/Photo),Historical Level 0.5 AE100B>069 - Restroom Vest,Grout,2023-02-14,2023-02-21,Final Punch List,"Global Stone and Tile, LLC",,2023-02-20,,False,True,False,False
T80948.297,Verified Complete (w/Photo),Historical Level 0.5 AE100B>071 - Lavatory,Exit sign needs page to ceiling,2023-02-14,2023-02-21,Final Punch List,Wilkinson Electric Inc,,2023-02-24,,False,True,False,False
T80948.296,Verified Complete (w/Photo),Historical Level 0.5 AE100B>071 - Lavatory,Caulking fix,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,False,False
T80948.295,Verified Complete (w/Photo),Historical Level 0.5 AE100B>069 - Restroom Vest,"Caulking ",2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,False,False
T80948.294,Verified Complete (w/Photo),Historical Level 0.5 AE100B>068 - Stairwell,Paint touch up,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,False,False
T80948.293,Verified Complete (w/Photo),Historical Level 0.5 AE100B>068 - Stairwell,Fix caulking,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,False,False
T80948.292,Verified Complete (w/Photo),Historical Level 0.5 AE100B>068 - Stairwell,Caulk typ.,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,True,False
T80948.291,Verified Complete (w/Photo),Historical Level 0.5 AE100B>068 - Stairwell,Caulk typ.,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,True,False
T80948.290,Verified Complete (w/Photo),Historical Level 0.5 AE100B>068 - Stairwell,Caulk typ.,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,False,False
T80948.289,Verified Complete (w/Photo),Historical Level 0.5 AE100B>068 - Stairwell,Fix caulking,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-22,,False,True,False,False
T80948.288,Verified Complete (w/Photo),Historical Level 0.5 AE100B>068 - Stairwell,Fix caulking,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,False,False
T80948.287,Verified Complete (w/Photo),Historical Level 0.5 AE100B,Rough paint finish,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-22,,False,True,False,False
T80948.286,Verified Complete (w/Photo),Historical Level 0.5 AE100B>066 - Records,"Fix caulking, typ",2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-22,,False,True,False,False
T80948.285,Verified Complete (w/Photo),Historical Level 0.5 AE100B>066 - Records,Frame around fountains is not smooth,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,False,False
T80948.284,Verified Complete (w/Photo),Historical Level 0.5 AE100B>066 - Records,Clean off overspray from back wall of drinking fountains,2023-02-14,2023-02-21,Final Punch List,"Westland Construction, Inc.",,2023-02-22,,False,True,False,False
T80948.283,Verified Complete (w/Photo),Historical Level 0.5 AE100B>066 - Records,Fix caulking at stone backsplash,2023-02-14,2023-02-21,Final Punch List,"Westland Construction, Inc.",,2023-02-22,,False,True,False,False
T80948.282,Verified Complete (w/Photo),Historical Level 0.5 AE100B>065 - Hall,Caulk around F.E.C.,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-24,,False,True,False,False
T80948.281,Verified Complete (w/Photo),Historical Level 0.5 AE100B,Caulk needed-paint,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-23,,False,True,False,False
T80948.280,Complete,Historical Level 0.5 AE100B>065 - Hall,Door does not close flush,2023-02-14,2023-02-21,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-28,,True,True,False,False
T80948.279,Verified Complete (w/Photo),Historical Level 0.5 AE100B>065 - Hall,Caulk around door frame,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,False,False
T80948.278,Verified Complete (w/Photo),Historical Level 0.5 AE100B>065 - Hall,Caulk top edge of frame,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,False,False
T80948.277,Verified Complete (w/Photo),Historical Level 0.5 AE100B>065 - Hall,Fix caulking/ paint,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,False,False
T80948.276,Verified Complete (w/Photo),Historical Level 0.5 AE100B,Fix floor indicator signs,2023-02-14,2023-02-21,Final Punch List,"Westland Construction, Inc.",,2023-02-22,,False,True,False,False
T80948.275,Opened,Historical Level 0.5 AE100B,Clean out excess caulking from corner- each side,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-14,,True,True,False,False
T80948.274,Opened,Historical Level 0.5 AE100B,Top edge of panel needs painted- all sides,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-14,,True,True,False,False
T80948.273,Opened,Historical Level 0.5 AE100B,Hand rails are loose,2023-02-14,2023-02-21,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-14,,True,True,False,False
T80948.272,Verified Complete (w/Photo),Historical Level 0.5 AE100B,Touch up paint,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-24,,False,True,False,False
T80948.271,Opened,Historical Level 0.5 AE100B,Button indicators need replaced,2023-02-14,2023-02-21,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-14,,True,True,False,False
T80948.270,Opened,Historical Level 1 AE101A>190 - Elevator Lobby,Clean windows,2023-02-14,2023-02-21,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-14,,True,False,False,False
T80948.269,Verified Complete (w/Photo),Historical Level 1 AE101A>190 - Elevator Lobby,Touch up paint,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-27,,False,True,False,False
T80948.268,Verified Complete (w/Photo),Historical Level 1 AE101A>190 - Elevator Lobby,"Caulk and paint, typ.",2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-27,,False,True,False,False
T80948.267,Opened,Historical Level 1 AE101A>190 - Elevator Lobby,Touch up paint,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-14,,True,True,False,False
T80948.266,Verified Complete (w/Photo),Historical Level 1 AE101A>190 - Elevator Lobby,Touch up paint,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-27,,False,True,False,False
T80948.265,Opened,Historical Level 0 AE100A,Typical cleanup needs to be done,2023-02-14,2023-02-21,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-14,,True,True,False,False
T80948.264,Opened,Historical Level 0 AE100A,"Clean floor , typical",2023-02-14,2023-02-21,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-14,,True,True,False,False
T80948.263,Opened,Historical Level 0 AE100A,Touch up paint,2023-02-14,2023-02-21,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-14,,True,True,False,False
T80948.262,Opened,Historical Level 0 AE100A,Bolt needs tightened,2023-02-14,2023-02-21,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-14,,True,True,False,False
T80948.261,Opened,Site Main>Site Area G,Paver installed high,2023-02-13,2023-02-20,Final Punch List,"IMS Masonry, Inc.",Pavers,2023-02-13,,True,True,False,False
T80948.260,Opened,Historical Level 0 AE100A>052 - Stair Lobby,Need to fix edge of acres door. Add Frame or something?,2023-02-13,2023-02-20,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-13,,True,True,False,False
T80948.259,Verified Complete (w/Photo),Historical Level 0 AE100A>043 - South Mechanical,Seal around door frame,2023-02-13,2023-02-20,Final Punch List,"Westland Construction, Inc.",Westland -- Historic,2023-02-27,,False,True,False,False
T80948.258,Verified Complete (w/Photo),Historical Level 0 AE100A>043 - South Mechanical,Door hardware missing,2023-02-13,2023-02-20,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-27,,False,True,False,False
T80948.257,Verified Complete (w/Photo),Historical Level 0 AE100A>043 - South Mechanical,Door missing,2023-02-13,2023-02-20,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-27,,False,True,False,False
T80948.256,Verified Complete (w/Photo),Historical Level 0 AE100A>043 - South Mechanical,Door hardware missing,2023-02-13,2023-02-20,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-27,,False,True,False,False
T80948.255,Opened,Historical Level 0 AE100A>043 - South Mechanical,"Paint touch at hand rail, typ.",2023-02-13,2023-02-20,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-13,,True,True,False,False
T80948.254,Opened,Annex Level 0AE100>036 - Existing Mech,"Clean up floor, typical",2023-02-13,2023-02-20,Final Punch List,"Westland Construction, Inc.",Westland -- Annex,2023-02-13,,True,True,False,False
T80948.253,Verified Complete (w/Photo),Annex Level 0AE100>038 - Mech,Fix epoxy floor finish,2023-02-13,2023-02-20,Final Punch List,"Westland Construction, Inc.",N/A -- Not to Complete,2023-02-27,,False,True,True,False
T77364.160,Opened,Site Main>Site Area K,Adjust paver elevation at the drain,2023-02-10,2023-02-17,Quality Control,"IMS Masonry, Inc.",Pavers,2023-02-10,,True,True,False,False
T81309.4,Verified Complete (w/Photo),Historical Level 3 AE103>309 - Instruction Womens,Light fixture doesn’t hang plumb due to one of the chains having a twist in it. verify all lights of this type G1 hang plumb.,2023-02-10,2023-02-14,Quality Control,Wilkinson Electric Inc,Electrical,2023-02-13,,False,False,False,False
T80948.252,Verified Complete (w/Photo),Historical Level 2 AE102>219 - Instruction 3,"Fix ceiling around recessed light ",2023-02-10,2023-02-17,Final Punch List,"Westland Construction, Inc.",,2023-02-21,,False,True,False,False
T80948.251,Verified Complete (w/Photo),Historical Level 2 AE102>219 - Instruction 3,Tuck carpet,2023-02-10,2023-02-17,Final Punch List,The Church Of Jesus Christ Of Latter Day Saints,,2023-02-20,,False,True,False,False
T77364.159,Opened,Site Main>Site Area G,Adjust paver elevation,2023-02-10,2023-02-17,Quality Control,"IMS Masonry, Inc.",Pavers,2023-02-10,,True,True,False,False
T80948.250,Verified Complete (w/Photo),Annex Level 0AE100,Cut off ends of bolts,2023-02-09,2023-02-16,Final Punch List,US Mechanical,,2023-02-20,,False,True,False,False
T80948.249,Verified Complete (w/Photo),Annex Level 0AE100>020B - Clothing Drop,"Clean walls, typical",2023-02-09,2023-02-16,Final Punch List,"Westland Construction, Inc.",,2023-02-22,,False,True,False,False
T80948.248,Verified Complete (w/Photo),Annex Level 0AE100>020A - East Mechanical,Fix surface and Epoxy floor throughout,2023-02-09,2023-02-16,Final Punch List,"Westland Construction, Inc.",,2023-02-17,,False,True,False,False
T80948.247,Verified Complete (w/Photo),Annex Level 0AE100>020A - East Mechanical,Paint touch up,2023-02-09,2023-02-16,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-17,,False,True,False,False
T80948.246,Verified Complete (w/Photo),Annex Level 0AE100>020A - East Mechanical,Sweep and remove debris from under units typical,2023-02-09,2023-02-16,Final Punch List,"Westland Construction, Inc.",,2023-02-17,,False,True,False,False
T80948.245,Verified Complete (w/Photo),Annex Level 0AE100>020A - East Mechanical,Need insulation around trap piping,2023-02-09,2023-02-16,Final Punch List,"Westland Construction, Inc.",N/A -- Not to Complete,2023-02-20,,False,True,True,False
T80948.244,Verified Complete (w/Photo),Annex Level 0AE100>020A - East Mechanical,Cleanup columns and make one color,2023-02-09,2023-02-16,Final Punch List,"Westland Construction, Inc.",N/A -- Not to Complete,2023-02-23,,False,True,False,False
T80948.243,Verified Complete (w/Photo),Annex Level 0AE100>020A - East Mechanical,Clean and dust fixtures,2023-02-09,2023-02-16,Final Punch List,"Westland Construction, Inc.",,2023-02-17,,False,True,False,False
T80948.242,Verified Complete (w/Photo),Annex Level 0AE100>020A - East Mechanical,"Clean walls and rubber base, typical",2023-02-09,2023-02-16,Final Punch List,"Westland Construction, Inc.",,2023-02-17,,False,True,False,False
T80948.241,Verified Complete (w/Photo),Annex Level 0AE100>020A - East Mechanical,Epoxy floor touch up throughout,2023-02-09,2023-02-16,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-17,,False,True,False,False
T80354.39,Verified Complete (w/Photo),Historical Level 5 AE105>527 - Instruction 17,Door latch stuck inside door,2023-02-08,2023-02-10,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-13,,False,True,False,False
T80344.432,Verified Complete (w/Photo),Historical Level 2 AE102>218 - Lobby,Clean off overspray,2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",,2023-02-13,,False,True,False,False
T80344.431,Verified Complete (w/Photo),Historical Level 2 AE102>218 - Lobby,"Clean , typical",2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",,2023-02-13,,False,True,False,False
T80344.430,Opened,Historical Level 2 AE102>218 - Lobby,Paint on gold leaf,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-08,,True,True,False,False
T80344.429,Verified Complete (w/Photo),Historical Level 2 AE102>218 - Lobby,Paint touch up,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-13,,False,True,False,False
T80344.428,Verified Complete (w/Photo),Historical Level 2 AE102>221 - Vest,Clean off hand prints,2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",,2023-02-13,,False,True,False,False
T80344.427,Verified Complete (w/Photo),Historical Level 2 AE102>218 - Lobby,Paint touch up,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-13,,False,True,False,False
T80344.426,Opened,Historical Level 2 AE102>218 - Lobby,Paint touch up,2023-02-08,2023-02-15,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-08,,True,True,False,False
T80344.425,Opened,Historical Level 2 AE102>218 - Lobby,Paint touch up,2023-02-08,2023-02-15,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-08,,True,True,False,False
T80506.348,Verified Complete (w/Photo),Historical Level 2 AE102>218 - Lobby,Edge of carpet is rough,2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",FFE -- Carpet,2023-02-13,,False,True,False,False
T80344.424,Verified Complete (w/Photo),Historical Level 2 AE102>219 - Instruction 3,Fix around recessed lighting,2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",,2023-02-20,,False,True,False,False
T80344.423,Opened,Historical Level 2 AE102>219 - Instruction 3,Over spray on gold leaf,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-08,,True,True,False,False
T80344.422,Verified Complete (w/Photo),Historical Level 2 AE102>219 - Instruction 3,Paint touch up,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-13,,False,True,False,False
T80506.347,Verified Complete (w/Photo),Historical Level 2 AE102>219 - Instruction 3,"Open low volt box, session clock?",2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",,2023-02-13,,False,True,False,False
T80344.421,Verified Complete (w/Photo),Historical Level 2 AE102>219 - Instruction 3,Clean recessed lighting bezels typical,2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",,2023-02-20,,False,False,False,False
T80344.420,Verified Complete (w/Photo),Historical Level 2 AE102>219 - Instruction 3,Paint touch up,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-13,,False,True,False,False
T80506.346,Opened,Historical Level 2 AE102>219 - Instruction 3,Touch up on railing,2023-02-08,2023-02-15,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-08,,True,True,False,False
T80344.419,Verified Complete (w/Photo),Historical Level 2 AE102>219 - Instruction 3,Missing screws,2023-02-08,2023-02-15,Final Punch List,Fetzers' Inc.,,2023-02-21,,False,True,False,False
T80344.418,Verified Complete (w/Photo),Historical Level 2 AE102>219 - Instruction 3,Missing strike plates,2023-02-08,2023-02-15,Final Punch List,Fetzers' Inc.,,2023-02-21,,False,True,False,False
T80344.417,Verified Complete (w/Photo),Historical Level 2 AE102>219 - Instruction 3,Paint touch up,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-13,,False,True,False,False
T80344.416,Verified Complete (w/Photo),Historical Level 2 AE102>219 - Instruction 3,Paint touch up,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",,2023-02-21,,False,True,False,False
T80344.415,Opened,Historical Level 3 AE103>303 - Elevator Lobby,"Paint touch up at elevator openings , typical",2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-08,,True,True,False,False
T80344.414,Verified Complete (w/Photo),Historical Level 3 AE103>303 - Elevator Lobby,Missing plinth blocks,2023-02-08,2023-02-15,Final Punch List,Fetzers' Inc.,"Finish Carpentry ",2023-02-27,,False,True,False,False
T80344.413,Opened,Historical Level 3 AE103>303 - Elevator Lobby,"Clean walls , typical",2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-08,,True,True,False,False
T80344.412,Opened,Historical Level 3 AE103>301 - Stair Lobby,"Clean , typical",2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-08,,True,False,False,False
T80344.411,Opened,Historical Level 3 AE103>301 - Stair Lobby,Fix caulking,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-08,,True,True,False,False
T80344.410,Opened,Historical Level 3 AE103>301 - Stair Lobby,Fix caulking,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-08,,True,True,False,False
T80344.409,Opened,Historical Level 3 AE103>301 - Stair Lobby,Clean recessed lighting bezels typical,2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-08,,True,True,False,False
T80344.408,Opened,Historical Level 3 AE103>301 - Stair Lobby,Fix caulking,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-08,,True,True,False,False
T80344.407,Verified Complete (w/Photo),Historical Level 3 AE103>301 - Stair Lobby,Missing component,2023-02-08,2023-02-15,Final Punch List,Wilkinson Electric Inc,Electrical,2023-02-27,,False,True,True,False
T80344.406,Opened,Historical Level 3 AE103>301 - Stair Lobby,"Carpet needs tucked at base boards, typical",2023-02-08,2023-02-15,Final Punch List,The Church Of Jesus Christ Of Latter Day Saints,FFE -- Carpet,2023-02-08,,True,False,False,False
T80344.405,Opened,Historical Level 3 AE103>301 - Stair Lobby,"Crown molding joints need addressed , typical",2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-08,,True,True,False,False
T80344.404,Verified Complete (w/Photo),Historical Level 3 AE103>301 - Stair Lobby,Missing floor outlet box,2023-02-08,2023-02-15,Final Punch List,Wilkinson Electric Inc,Electrical,2023-02-27,,False,True,True,False
T80344.403,Verified Complete (w/Photo),Historical Level 3 AE103>301 - Stair Lobby,Missing floor outlet box,2023-02-08,2023-02-15,Final Punch List,Wilkinson Electric Inc,Electrical,2023-02-27,,False,True,True,False
T80344.402,Opened,Historical Level 5 AE105>507 - Janitor Storage,"Clean , typical",2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-08,,True,False,False,False
T80344.401,Opened,Historical Level 5 AE105>507 - Janitor Storage,Clean and dust out debris,2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-08,,True,True,False,False
T80344.400,Verified Complete (w/Photo),Historical Level 5 AE105>507 - Janitor Storage,Switch plate fix,2023-02-08,2023-02-15,Final Punch List,Wilkinson Electric Inc,Electrical,2023-02-27,,False,True,True,False
T80344.399,Opened,Historical Level 5 AE105>501 - Stair Lobby,"Carpet needs tucked at base boards, typical",2023-02-08,2023-02-15,Final Punch List,The Church Of Jesus Christ Of Latter Day Saints,FFE -- Carpet,2023-02-08,,True,False,False,False
T80344.398,Opened,Historical Level 5 AE105>501 - Stair Lobby,Fix carpet at wall,2023-02-08,2023-02-15,Final Punch List,The Church Of Jesus Christ Of Latter Day Saints,FFE -- Carpet,2023-02-08,,True,True,False,False
T80344.397,Opened,Historical Level 5 AE105>501 - Stair Lobby,Paint touch up,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-08,,True,True,False,False
T80344.396,Verified Complete (w/Photo),Historical Level 5 AE105>501 - Stair Lobby,Missing component,2023-02-08,2023-02-15,Final Punch List,The Church Of Jesus Christ Of Latter Day Saints,FFE -- General FFE,2023-02-27,,False,True,False,False
T80344.395,Verified Complete (w/Photo),Historical Level 5 AE105>501 - Stair Lobby,Exit light Missing,2023-02-08,2023-02-15,Final Punch List,Wilkinson Electric Inc,Electrical,2023-02-27,,False,True,True,False
T80344.394,Opened,Historical Level 5 AE105>501 - Stair Lobby,Paint touch up,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-08,,True,True,False,False
T80344.393,Opened,Historical Level 5 AE105>501 - Stair Lobby,Paint touch,2023-02-08,2023-02-15,Final Punch List,"Accent Painting and Special Coatings, LLC",Paint,2023-02-08,,True,True,False,False
T80344.392,Opened,Historical Level 5 AE105>501 - Stair Lobby,"Crown molding joints need addressed , typical",2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-08,,True,True,False,False
T80344.391,Verified Complete (w/Photo),Historical Level 5 AE105>501 - Stair Lobby,Missing floor outlet box,2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-27,,False,True,False,False
T80344.390,Verified Complete (w/Photo),Historical Level 5 AE105>501 - Stair Lobby,Missing component,2023-02-08,2023-02-15,Final Punch List,"Westland Construction, Inc.",Westland -- West Stair,2023-02-27,,False,True,False,False
